Host Name,FOG,rsync,P2P
C8,00:10:43,00:08:06,00:42:44
C8,00:10:28,00:08:07,00:40:54
C8,00:11:45,00:08:07,00:36:36
C8,00:10:15,00:08:11,00:36:33
C8,00:10:34,00:08:06,00:40:31
C8,00:10:36,00:08:07,00:40:40
C8,00:10:43,00:08:08,00:37:34
C9,00:10:35,00:08:11,00:47:39
C9,00:10:50,00:08:09,00:43:49
C9,00:10:44,00:08:11,00:43:17
C9,00:11:23,00:08:19,00:45:50
C9,00:10:15,00:08:07,00:43:46
C9,00:10:15,00:08:11,00:45:48
C9,00:10:47,00:08:09,00:47:09
C9,00:13:02,00:08:09,00:48:14
C9,00:11:34,00:08:09,00:47:36
C9,00:11:17,00:08:11,00:43:14
C9,00:11:23,00:08:10,00:46:18
C9,00:11:31,00:08:11,00:45:48
C9,00:11:27,00:08:10,00:37:35
C9,00:11:56,00:08:10,00:45:05
C9,00:11:40,00:08:11,00:47:26
C9,00:11:51,00:08:10,00:48:32
C9,00:11:28,00:08:10,00:48:06
C9,00:11:32,00:08:09,00:47:11
C9,00:11:32,00:08:10,00:44:07
C9,00:11:46,00:08:11,00:42:49
C9,00:11:24,00:08:10,00:38:50
C9,00:10:08,00:08:10,00:49:54
C9,00:10:47,00:08:06,00:42:43
C9,00:10:48,00:08:09,00:41:09
C9,00:12:32,00:08:10,00:45:11
C9,00:11:48,00:08:06,00:46:24
C9,00:10:15,00:08:10,00:39:53
C9,00:10:33,00:08:10,00:42:43
C9,00:10:38,00:08:10,00:45:09
C9,00:10:57,00:08:11,00:40:40
C10,00:10:41,00:08:07,00:39:22
C10,00:10:44,00:08:05,00:36:12
C10,00:11:00,00:08:07,00:39:26
C10,00:11:23,00:08:15,00:37:06
C10,00:10:15,00:08:07,00:38:58
C10,00:10:29,00:08:07,00:40:30
C10,00:10:49,00:08:05,00:37:29
C10,00:12:07,00:08:05,00:39:20
C10,00:11:17,00:08:05,00:35:00
C10,00:11:08,00:08:07,00:38:36
C10,00:11:26,00:08:06,00:36:42
C10,00:11:37,00:08:07,00:35:35
C10,00:11:31,00:08:06,00:38:03
C10,00:11:22,00:08:06,00:40:29
C10,00:11:41,00:08:06,00:40:00
C10,00:10:11,00:08:06,00:36:13
C10,00:11:22,00:08:06,00:40:55
C10,00:11:33,00:08:05,00:35:59
C10,00:11:33,00:08:06,00:39:41
C10,00:11:41,00:08:06,00:38:19
C10,00:11:42,00:08:06,00:33:57
C10,00:10:18,00:08:06,00:37:01
C10,00:10:50,00:08:06,00:33:46
C10,00:10:42,00:08:05,00:33:55
C10,00:12:29,00:08:11,00:36:56
C10,00:11:37,00:08:06,00:35:02
C10,00:10:23,00:08:06,00:35:38
C10,00:10:36,00:08:06,00:36:28
C10,00:10:43,00:08:06,00:34:38
C10,00:10:56,00:08:07,00:35:14
